Australia,  Births (1-year)	Last modified: 22 Mar 2022;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1860           23262     24464     47726
1861           23806     25102     48908
1862           24896     26483     51379
1863           25134     26233     51367
1864           26838     28608     55446
1865           27986     29175     57161
1866           27457     28927     56384
1867           28922     30245     59167
1868           29896     31269     61165
1869           29527     30996     60523
1870           30437     32195     62632
1871           30921     32704     63625
1872           31589     32233     63822
1873           32561     33667     66228
1874           32809     34221     67030
1875           32970     34257     67227
1876           33903     35358     69261
1877           34041     35752     69793
1878           35321     37640     72961
1879           37203     38882     76085
1880           37757     39683     77440
1881           38884     41120     80004
1882           39600     41343     80943
1883           41533     43669     85202
1884           44392     46602     90994
1885           46210     48363     94573
1886           47227     49733     96960
1887           49309     51607    100916
1888           50888     53192    104080
1889           50678     54046    104724
1890           53384     55299    108683
1891           53758     56429    110187
1892           53699     56459    110158
1893           53125     56197    109322
1894           50957     53703    104660
1895           51184     53900    105084
1896           48979     51155    100134
1897           49440     51697    101137
1898           48041     50804     98845
1899           49209     51429    100638
1900           49881     52340    102221
1901           50436     52509    102945
1902           50160     52616    102776
1903           48037     50406     98443
1904           50755     53358    104113
1905           51046     53895    104941
1906           52376     55514    107890
1907           53858     56489    110347
1908           54432     57113    111545
1909           55589     58482    114071
1910           56595     60206    116801
1911           59685     62508    122193
1912           65066     68022    133088
1913           66280     69434    135714
1914           67379     70604    137983
1915           65822     69049    134871
1916           63921     67505    131426
1917           63082     66883    129965
1918           61281     64458    125739
1919           59359     62931    122290
1920           66150     70256    136406
1921           66159     70039    136198
1922           66914     70582    137496
1923           65857     69365    135222
1924           66127     68800    134927
1925           66250     69542    135792
1926           64740     68422    133162
1927           64818     68880    133698
1928           64926     69152    134078
1929           62857     66623    129480
1930           62516     65883    128399
1931           57488     61021    118509
1932           53958     56975    110933
1933           54109     57160    111269
1934           53627     55848    109475
1935           54433     56892    111325
1936           56679     59394    116073
1937           58226     60905    119131
1938           58523     61892    120415
1939           59838     63053    122891
1940           61752     64595    126347
1941           65564     68961    134525
1942           66481     70227    136708
1943           72942     76353    149295
1944           75002     78342    153344
1945           78103     82457    160560
1946           85411     90968    176379
1947           88566     93818    182384
1948           86665     91311    177976
1949           88515     92746    181261
1950           92761     97830    190591
1951           93897     99401    193298
1952           98269    103381    201650
1953           98736    103499    202235
1954           98701    103555    202256
1955          101227    106450    207677
1956          102544    109589    212133
1957          107121    113237    220358
1958          108547    113957    222504
1959          110735    116241    226976
1960          111911    118415    230326
1961          116874    123112    239986
1962          114971    122110    237081
1963          114553    121136    235689
1964          111087    118062    229149
1965          108388    114466    222854
1966          108653    115078    223731
1967          111616    117680    229296
1968          117279    123627    240906
1969          121905    128271    250176
1970          125544    131972    257516
1971          135248    141114    276362
1972          128960    136009    264969
1973          120701    126969    247670
1974          118882    126295    245177
1975          113011    119725    232736
1976          110761    116597    227358
1977          110069    117002    227071
1978          109762    115187    224949
1979          108459    114857    223316
1980          110191    116282    226473
1981          115511    122139    237650
1982          116036    122734    238770
1983          118254    124745    242999
1984          118255    123982    242237
1985          118886    125151    244037
1986          118640    125244    243884
1987          118854    125340    244194
1988          122481    128824    251305
1989          124085    130514    254599
1990          127808    134997    262805
1991          125598    132671    258269
1992          128737    135508    264245
1993          127174    134340    261514
1994          127504    134704    262208
1995          126672    133481    260153
1996          125284    132579    257863
1997          124542    130926    255468
1998          123627    129870    253497
1999          125027    131287    256314
2000          124622    131169    255791
2001          122463    129046    251509
2002          123516    129760    253276
2003          123178    130375    253553
2004          123383    130567    253950
2005          130779    137769    268548
2006          133924    142006    275930
2007          141258    149216    290474
2008          143011    150769    293780
2009          143914    152255    296169
2010          144990    151902    296892
2011          145584    154026    299610
2012          149513    158875    308388
2013          148194    156989    305183
2014          149750    157812    307562
2015          147382    156032    303414
2016          149613    158276    307889
2017          144579    153428    298007
2018          143183    152016    295199
2019          142224    150724    292948
