Italy , Life tables (cohort 1x10), Females	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1879        0      0.23490  0.20231  0.31  100000   20231   86124  3825691  38.26
1872-1879        1      0.09430  0.08983  0.47   79769    7165   75987  3739568  46.88
1872-1879        2      0.06842  0.06615  0.50   72604    4803   70196  3663581  50.46
1872-1879        3      0.04543  0.04441  0.50   67801    3011   66283  3593385  53.00
1872-1879        4      0.02951  0.02907  0.50   64790    1884   63842  3527101  54.44
1872-1879        5      0.02084  0.02062  0.50   62906    1297   62261  3463259  55.05
1872-1879        6      0.01521  0.01509  0.50   61609     930   61148  3400998  55.20
1872-1879        7      0.01073  0.01067  0.50   60679     647   60357  3339850  55.04
1872-1879        8      0.00746  0.00743  0.50   60031     446   59809  3279493  54.63
1872-1879        9      0.00580  0.00578  0.50   59585     345   59413  3219684  54.03
1872-1879       10      0.00525  0.00524  0.51   59241     310   59088  3160271  53.35
1872-1879       11      0.00517  0.00516  0.51   58931     304   58781  3101183  52.62
1872-1879       12      0.00541  0.00539  0.51   58627     316   58471  3042403  51.89
1872-1879       13      0.00561  0.00559  0.51   58310     326   58150  2983932  51.17
1872-1879       14      0.00574  0.00572  0.51   57984     332   57821  2925782  50.46
1872-1879       15      0.00587  0.00585  0.51   57653     337   57487  2867961  49.75
1872-1879       16      0.00607  0.00605  0.51   57315     347   57144  2810475  49.04
1872-1879       17      0.00630  0.00628  0.51   56968     358   56792  2753330  48.33
1872-1879       18      0.00656  0.00654  0.51   56610     370   56428  2696538  47.63
1872-1879       19      0.00681  0.00678  0.51   56240     382   56052  2640110  46.94
1872-1879       20      0.00707  0.00705  0.51   55859     394   55664  2584058  46.26
1872-1879       21      0.00730  0.00727  0.50   55465     403   55265  2528393  45.59
1872-1879       22      0.00752  0.00749  0.50   55062     412   54857  2473128  44.92
1872-1879       23      0.00763  0.00760  0.50   54649     416   54444  2418271  44.25
1872-1879       24      0.00758  0.00755  0.51   54234     409   54031  2363827  43.59
1872-1879       25      0.00749  0.00746  0.51   53824     402   53626  2309796  42.91
1872-1879       26      0.00743  0.00740  0.50   53423     396   53227  2256170  42.23
1872-1879       27      0.00740  0.00737  0.50   53027     391   52834  2202943  41.54
1872-1879       28      0.00746  0.00743  0.51   52637     391   52443  2150110  40.85
1872-1879       29      0.00750  0.00747  0.50   52246     390   52052  2097666  40.15
