Italy , Life tables (cohort 1x5), Males	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1874        0      0.27140  0.22803  0.30  100000   22803   84018  3572938  35.73
1872-1874        1      0.09834  0.09348  0.47   77197    7216   73383  3488920  45.19
1872-1874        2      0.07093  0.06849  0.50   69981    4793   67571  3415537  48.81
1872-1874        3      0.04786  0.04674  0.50   65188    3047   63658  3347966  51.36
1872-1874        4      0.03150  0.03101  0.50   62141    1927   61175  3284308  52.85
1872-1874        5      0.02232  0.02207  0.50   60214    1329   59553  3223133  53.53
1872-1874        6      0.01565  0.01553  0.50   58885     914   58429  3163579  53.72
1872-1874        7      0.01035  0.01029  0.50   57971     597   57672  3105150  53.56
1872-1874        8      0.00699  0.00696  0.51   57374     400   57177  3047478  53.12
1872-1874        9      0.00607  0.00605  0.51   56975     345   56804  2990301  52.48
1872-1874       10      0.00529  0.00528  0.50   56630     299   56480  2933497  51.80
1872-1874       11      0.00481  0.00480  0.51   56331     271   56197  2877017  51.07
1872-1874       12      0.00515  0.00513  0.51   56060     288   55918  2820820  50.32
1872-1874       13      0.00529  0.00527  0.50   55772     294   55626  2764902  49.57
1872-1874       14      0.00507  0.00505  0.50   55478     280   55338  2709275  48.83
1872-1874       15      0.00475  0.00474  0.50   55198     262   55068  2653937  48.08
1872-1874       16      0.00477  0.00476  0.51   54936     261   54807  2598869  47.31
1872-1874       17      0.00517  0.00515  0.51   54675     282   54537  2544062  46.53
1872-1874       18      0.00586  0.00584  0.51   54393     318   54237  2489525  45.77
1872-1874       19      0.00665  0.00662  0.51   54076     358   53899  2435288  45.03
1872-1874       20      0.00750  0.00747  0.50   53717     401   53517  2381390  44.33
1872-1874       21      0.00820  0.00816  0.50   53316     435   53098  2327873  43.66
1872-1874       22      0.00847  0.00843  0.50   52881     446   52657  2274775  43.02
1872-1874       23      0.00827  0.00823  0.50   52435     432   52218  2222118  42.38
1872-1874       24      0.00773  0.00770  0.50   52003     401   51801  2169901  41.73
1872-1874       25      0.00717  0.00714  0.50   51602     369   51418  2118099  41.05
1872-1874       26      0.00682  0.00679  0.50   51234     348   51059  2066681  40.34
1872-1874       27      0.00661  0.00659  0.50   50886     335   50717  2015622  39.61
1872-1874       28      0.00652  0.00650  0.50   50550     329   50386  1964905  38.87
1872-1874       29      0.00644  0.00642  0.50   50222     323   50060  1914519  38.12
1872-1874       30      0.00651  0.00649  0.50   49899     324   49737  1864459  37.36
1872-1874       31      0.00657  0.00655  0.50   49575     325   49412  1814722  36.61
1872-1874       32      0.00657  0.00655  0.50   49250     323   49089  1765310  35.84
1872-1874       33      0.00675  0.00673  0.50   48928     329   48764  1716221  35.08
1872-1874       34      0.00702  0.00699  0.50   48599     340   48429  1667457  34.31
1872-1874       35      0.00713  0.00710  0.50   48259     343   48088  1619028  33.55
1872-1874       36      0.00718  0.00715  0.50   47916     343   47745  1570940  32.79
1872-1874       37      0.00712  0.00710  0.50   47573     338   47404  1523195  32.02
1872-1874       38      0.00708  0.00706  0.50   47236     333   47069  1475791  31.24
1872-1874       39      0.00706  0.00703  0.50   46902     330   46737  1428721  30.46
1872-1874       40      0.00721  0.00719  0.51   46572     335   46408  1381985  29.67
1872-1874       41      0.00769  0.00767  0.51   46238     354   46063  1335577  28.89
1872-1874       42      0.00839  0.00836  0.51   45883     383   45696  1289514  28.10
1872-1874       43      0.01170  0.01164  0.54   45500     529   45257  1243819  27.34
1872-1874       44      0.01641  0.01628  0.50   44970     732   44606  1198561  26.65
1872-1874       45      0.01680  0.01666  0.50   44238     737   43867  1153956  26.09
1872-1874       46      0.01429  0.01418  0.47   43501     617   43173  1110088  25.52
1872-1874       47      0.01067  0.01062  0.50   42884     455   42656  1066915  24.88
1872-1874       48      0.01047  0.01041  0.50   42429     442   42208  1024259  24.14
1872-1874       49      0.01086  0.01080  0.51   41987     454   41764   982051  23.39
1872-1874       50      0.01182  0.01175  0.51   41534     488   41293   940287  22.64
